namespace,cbb_err_msg
AAPLNE0121, 
AUIACE0001,系统错误。请向交易负责人咨询。 
AUIACE0006, 
AUIACE0007, 
AUIACE0008, 
AUIACE0009, 
AUIACE0010, 
AUIACE0011,没有您要执行的结算步骤。 请选择并再次运行。
AUIACE0012,只有在结算步骤完成后才能执行。 处理结束后请重试。
AUIACE0015, 
AUIACE0016, 
AUIACE0017, 
AUIACE0018,部分转账金额应小于取款金额。 请检查输入量。
AUIARE0001,合约计划只有在合约状态为 
AUIARE0003, 
AUIARE0004, 
AUIASE0001, 
AUIASE0002, 
AUIASE0003, 
AUIASE0004, 
AUIASE0005, 
AUIASE0006, 
AUIASE0007, 
AUIASE0008, 
AUIASE0009, 
AUIASE0010, 
AUIASE0011, 
AUIASE0012, 
AUIASE0013, 
AUIASE0014, 
AUIASE0015, 
AUIATE0001,授权号码已经发出。请输入授权号码。 
AUIATE0002,授权完成。 
AUIATE0003,授权失败。 请检查输入值。
AUIATE0004,请勾选所有必选项。  
AUIATE0005,您的ID为： 
AUIATE0006,请重新登录。 
AUIATE0007,没有设置的交易密码。 转到登录页面。
AUIATE0008,已登记的资料行无法删除。  
AUIATE0009,没有可删除的资料。  
AUIATE0010,已登记的资料才能删除。  
AUIATE0011,没有可保存的资料。 请确认输入内容。
AUIATE0012,上层部门请选择和对象部门不一样的部门。 请确认输入值。
AUIATE0017,ID信息不存在。 
AUIATE0018,输入值与客户信息不一致。 
AUIATE0019,没有被选产品。 请选择产品。
AUIATE0020,没有登入Risk Appetite信息。是否要登入此信息？  
AUIATE0021,密码必须由英文字母、数字、符号中两个以上组成。 
AUIATE0022,密码必须输入6～20位。  
AUIATE0026,下一个输入值全部输入或输入不全 
AUIATE0032, 
AUIATE0033, 
AUIATE0034, 
AUICME0001,不能使用大括号。 请删除大括号。
AUICME0002,没有可删除的信息。 检查删除的错误信息。
AUICME0003,包含服务器没有的信息。 检查信息。
AUICME0004,有必输项。 请检查输入值。
AUICME0005,请检查输入项。 请检查输入值。
AUICME0006,请输入值。 请检查输入值。
AUICME0007,信息已经使用。 请检查输入值。
AUICME0008,信息可用。 
AUICME0009,机构代码不存在。 请咨询相关机构。
AUICME0010,没有明细信息。 请输入明细。
AUICME0011,没有可删除的代码。 检查删除代码。
AUICME0012,没有上层代码。 输入上层代码。
AUICME0013,没有代码名称。 输入代码名称。
AUICME0014,没有数据输入。 请检查数据。
AUICME0015,没有项目区别代码。 请输入项目区别代码。
AUICME0016,项目区别代码值错误。 请检查项目区别代码。
AUICME0017,渠道代码值错误。 请检查渠道代码值。
AUICME0018,语言代码值不正确。 请检查语言代码值。
AUICME0019,信息内容不正确。 请检查信息内容。
AUICME0020,处理内容不正确。 请检查处理内容。
AUICME0021,没有错误信息提示。 请先保存错误信息。
AUICME0022,短消息服务器屏幕区别代码和短消息服务器不同。 请输入短消息服务器屏幕区别代码。
AUICME0023,没有明细。 请先查询明细。
AUICME0024,没有表格名称。 请在左边菜单单击表。
AUICME0025,没有扩展属性名称。 请输入扩展属性名称。
AUICME0027,机构不能删除标准扩展属性。 注册完成后,请删除机构。
AUICME0028,无效输入。 请检查输入值。
AUICME0029,节点不能删除子节点。 请删除最后一个节点。
AUICME0030,此窗口无法注册外部代码。 请在目标窗口注册外部代码。
AUICME0031,没有查询项。 请输入一个或多个查询项。
AUICME0032,没有更多数据。 请检查输入值。
AUICME0033,你必须首选查询外部代码。 请查询外部代码。
AUICME0034,没有可变更的数据。 请检查输入值。
AUICME0035,注册文件有问题。 请咨询系统负责人。
AUICME0036,两次输入的交易密码不一致。 请输入相同的交易密码。
AUICME0037,开始日不能大于终止日。 请确认输入内容。
AUICME0038,无画面权限。 请向系统负责人咨询。
AUICME0041,进入途径错误。 
AUICME0043,时间格式不正确。 请确认输入值。
AUICME0044,There is no inserting data. Please check input value.
AUICME0045,확인해주세요.테스트 확인해주세요.테스트
AUICME0051,为了新注册批处理实例可是不见批处理 输入必准批处理名还是新注册批处理
AUICME0052, 
AUICME0053, 
AUICME0054, 
AUICME0055, 
AUICME0056, 
AUICME0057, 
AUICME0058, 
AUICME0059, 
AUICME0060, 
AUICME0061, 
AUICME0062, 
AUICME0063, 
AUICME0064, 
AUICME0065, 
AUICME0066, 
AUICME0067, 
AUICME0068, 
AUICME0069, 
AUICME0070, 
AUICME0071,Your password will expire soon. Are you sure you want to change your password?
AUICME0072,Your password has expired. Are you sure you want to change your password?
AUICUE0001,身份证号码太短。 请输入至少大于六位的有效身份证。
AUICUE0002,身份证号码太长。 请输入10位以内的有效身份证。
AUICUE0003,输入值长度有误。 请检查输入值长度。
AUICUE0004,短信发送失败。 请再试一次。
AUICUE0005,短信授权失败。 请再试一次。请联系客户服务中心1588-1588.
AUICUE0006,无授权状态。 请在授权后查询。
AUICUE0007,漏掉了必填项目。 请确认必填项目。
AUICUE0008,已认证。 
AUICUE0009,本页面需要额外认证。 将转到认证页面。
AUICUE0010,没有勾选同意条款。 请勾选同意。
AUICUE0011,身份证号或者位数发生错误。 确认后再输入。
AUIDPE0001,此交易不是现金交易，应输入交易账户。 请确认交易账户值。
AUIDPE0002,同意产品说明书以及条款后，才可能进行下一步。  
AUIDPE0003,手续费在事先预约日自动转账时一起从账户中进行扣除。 
AUIDPE0004,已经在主账户里进行了入款处理。 
AUIDPE0005,密码是必填项。 输入密码。
AUIDPE0006,转入账户是必填项目.  
AUIDPE0008,查看条款后才能同意。 请点击查看条款。
AUIDPE0009,存款账号和存款账户名不同。 请确认存款账户持有者是否相同。
AUIDPE0010,全出部门和全入部门一样。 请重新选择全入部门。
AUIDPE0011,他管理部门网点所管理的账户无法全出。 请重新选择账户。
AUIDPE0012,虚拟账户无法全出。 请重新选择账户。
AUIDPE0013,只有全出状态为申请时，才能进行承认邀请。 请确认全出状态。
AUIDPE0014,只有全出状态为申请时，才能进行取消邀请。 请确认全出状态。
AUIDPE0015,全出申请部门无法进行全入许可。 请选择可能的许可申请。
AUIDPE0016,无法承认其他部门的全入。 请选择可能被承认的申请项。
AUIDPE0017,交易超时。 请重新交易。
AUIDPE0018,电话号码有误。 请重新输入11位电话号码。
AUIDPE0019,消卡时出现错误。 无法消除主卡。
AUIDPE0020,不足最少投资金额[{0}]。 请确认金额。
AUIDPE0021,无法查询此卡。 输入卡号有误。
AUILNE0002,请在申请目录选择对象。 请在申请目录选择对象。
AUILNE0003,请输入申请类别。 请输入申请类别。
AUILNE0004,只有循环贷才能支取贷款 。
AUILNE0005,本次应付利息/月偿还额已不存在。 请确认偿还计划。
AUILNE0006,没有附加文件。 请附件。
AUILNE0007,添加文件必须按项目别 一个以上。 在漏掉的项目里添加材料。
AUILNE0008,一个项目只能附加一个材料。 请在其他项目附件后进行提交。
AUILNE0009,查看条款后同意。 请点击查看条款。
AUILNE0010,随时偿还时，利息/月偿还额不能查询。 请确认贷款交易明细。
AUILNE0011,下次付款日期不存在。 请确认资金流偿还计划。
AUILNE0012,移动手机申请时，无法跳到合约页面。 请确认贷款申请。
AUILNE0013,尚未输入提前还款金额。 请输入偿还金额。
AUILNE0014,可取余额少于手续费。 请充值手续费后重试。
AUILNE0015,当日合同不能查询. 请确认还款计划.
AUILNE0021,申请金额为必输项。 请输入申请金额。
AUILNE0022,申请期限为必输项。 请输入申请期限。
AUILNE0026,申请信用申请时，无法输入筛选标识。 
AUILNE0027,选择贷款申请区分 
AUILNE0028,无论是相关交易取消的主要服务是强制性的检查. 
AUILNE0029, 
AUILNE0030, 
AUIPDE0004, 
AUIPDE0005, 
AUIPDE0006, 
AUISCE0004,未选择合约。 请选择合约。
AUISCE0015,您输入的贷款金额已超过最高可贷金额， 请重新输入。
AUISCE0016,已审批合约不可更改。 请确认已选合约。
AUISCE0020,只允许选择一个合约。 请确认已选合约。
AUISCE0025,贷款发放金额应大于0。 请确认输入值。
AUISCE0027, 
AUISVE0001,系统内有重复值。 请删除重复值。
AUISVE0003,JSON输入格式不正确。 请确认JSON输入值。
BUIATE0001,您未进行风险评估。是否要进行评估？ 
BUICUE0001,客户的原密码不正确。 请确认原密码。
BUIPYE0001,您输入的账号和已绑定的住账号是不同。 请确认输入值。
BUIPYE0005,不存在智能转存账户，请先开户再进行交易。 请先开户。
BUISVE0001,当前没有可取消的申购金额。 请确认后继续交易。
BUISVE0002,当前取消申购金额不正确。 请确认后交易。
BUISVE0003,余额不足。 请确认后继续交易。
BUISVE0004,不是可投资的有效金额，投资单位金额为({})。 请确认后继续交易。
BUISVE0005,本产品的可申购期为({})~({})。 请确认后继续交易。
